source,target,weight
add tempeh,add to pan,2
add sauce,use type,2
add spinach,use baby,3
add protein,eat food,2
add bean,add protein,3
add bean,add sauce,8
add pepper,add vegetable,6
add tomato,stuff in eggplant,2
add pepper,add tomato,7
add salt,use recipe,2
add salt,use bronzer,2
add vegetable,use blender,2
add fat,use blender,2
add fat,cut in half,2
add to sandwich,cut in half,2
add oil,add to sandwich,3
add onion,add to sandwich,2
cut in half,use mushroom,2
add garlic,cut in half,3
add salt,cut in half,6
add garlic,add oil,15
add onion,use mushroom,16
add garlic,add onion,10
add onion,add salt,11
add fat,cook pasta,2
add chicken,roast squash,2
add depth,add green,3
add potato,add sauce,4
add chili flake,add sage,2
add onion,add rosemary,5
add onion,add water,21
add garlic,add water,5
add onion,put clove,3
add garlic,put clove,4
add garlic,add spice,4
add garlic,add pepper,4
add spice,put clove,2
add pepper,put clove,2
add pepper,add spice,3
add salt,add spice,5
add ice,drink on way,2
cook on stove,put dish,2
put dish,use towel,4
use tofu,use towel,2
add pepper,chop cucumber,2
add potato,add water,4
add water,use hand,2
add flavor,add veggie,2
add veggie,use color,2
add sauce,use tofu,4
add egg,use vitamin,3
eat food,use vitamin,3
eat food,use fruit,5
add bean,use fruit,2
add bean,add to pan,4
add bean,cook for minute,9
add to pan,cook for minute,9
eat breakfast,eat lunch,2
eat breakfast,pack snack,2
eat lunch,pack snack,8
add to plate,add water,2
add sauce,eat dinner,7
add sauce,put sheet,2
add sauce,add yeast,4
add broccoli,cook for minute,3
add sauce,cook for minute,24
add broccoli,add sauce,5
add dash,add vegetable,2
add salt,use bread,7
add salt,use hummus,3
use bread,use hummus,5
add flavor,add pepper,6
add sauce,use blender,2
add sauce,add tomato,6
add tomato,cut in half,4
use milk,use rice,4
add scoop,use milk,5
pack snack,use milk,2
add vegetable,read book,2
add egg,eat dairy,3
eat amount,eat food,9
cook on side,eat food,3
add chicken,use mushroom,7
add to pan,use mushroom,4
add chicken,add to pan,11
use calendar,use planner,2
read review,write plan,3
add flavor,add potato,5
add sauce,use chickpea,5
cook on stove,use berry,2
cook on stove,use rice,17
add bean,use tortilla,2
eat calorie,use microbead,2
add bean,add seasoning,2
add bit,add oil,8
add salt,add sugar,4
add sugar,add touch,2
add tomato,add water,6
add pepper,add water,6
add cheese,use tofu,2
add protein,build muscle,2
add dash,use butter,3
add oil,add tomato,5
add oil,add spice,9
add oil,use spoon,2
add ingredient,add yeast,2
add scoop,put lid,2
add sweetener,put lid,2
add water,shake bag,2
add seasoning,add vegetable,2
add egg,use tofu,6
add oil,add sauce,10
add cheese,add topping,5
cut in half,use brand,2
use blender,use tofu,2
add salt,use blender,3
use butter,use parsley,2
add egg,use parsley,2
add potato,add spinach,3
add broccoli,add to pan,3
add to pan,use milk,3
use knife,use retinol,2
add ginger,remove skin,2
eat food,use iron,2
put hair,use mask,7
add potato,put in middle,2
add cumin,add potato,2
put side,use hummus,2
add seasoning,use tofu,2
add onion,add potato,13
add oil,clean kitchen,6
use type,work way,3
drink coffee,drink on way,3
drink on way,use milk,2
drink coffee,use milk,12
use hummus,use milk,2
add onion,add sugar,2
add sugar,remove skin,2
add salt,remove skin,3
add potato,add thyme,3
add salt,use milk,3
add onion,use milk,2
add broccoli,cook on side,3
add sauce,cook on side,3
cut in half,eat breakfast,2
eat amount,eat breakfast,2
eat amount,use fruit,7
eat breakfast,use fruit,5
add tomato,add vinegar,4
add ingredient,cook pasta,3
add potato,remove from oven,2
add dash,use blender,2
add chicken,add seasoning,7
add bean,add chicken,12
add potato,cut in half,2
add yeast,cut in half,2
add cumin,use jalapeno,2
add onion,put lid,7
add onion,use parsley,2
add chili flake,add onion,5
add bean,add water,13
add flavor,use milk,5
put list,write list,4
add water,drink alcohol,11
add ingredient,use recipe,4
add vegetable,use recipe,3
add ginger,put food,2
eat lunch,put food,5
clean area,clean kitchen,6
add water,use brand,2
add water,use glass,9
scrape side,use butter,5
add veggie,use butter,2
add pepper,add to soup,4
add pepper,add plum,2
add to soup,put matcha,2
add plum,put matcha,2
drink alcohol,put matcha,2
add potato,add spice,6
cut in half,put side,3
add spice,put granola,2
add spice,use butter,2
add oil,use butter,19
add bay leaf,add vegetable,2
put on stove,use rice,2
add egg,sprinkle on top,2
eat food,pack with antioxidant,2
add bean,use hummus,2
add water,wash dish,9
use blender,use whisk,2
add bean,add yeast,2
use mushroom,use towel,2
add sauce,use mushroom,3
sprinkle on top,use mushroom,2
add oil,sprinkle on top,3
put sheet,sprinkle on top,2
add oil,remove from oven,2
add oil,put sheet,13
cook for minute,remove from oven,5
cook for minute,put sheet,3
drink alcohol,drink coffee,6
drink coffee,use glass,2
add potato,put on stove,4
add garlic,add potato,4
add salt,put on stove,4
add oil,cook grain,2
add flavor,add salt,5
add flavor,use rice,5
set vibe,use rice,2
cut in half,use rice,6
add garlic,roast squash,3
add garlic,cook pasta,4
add salt,roast squash,2
add ingredient,cook for minute,3
add ingredient,add spinach,2
add spinach,cook for minute,3
add garlic,use milk,2
use butter,use milk,12
add bit,use butter,3
add bean,cut in half,4
cut in half,use butter,4
add protein,use butter,6
add bean,use butter,2
add sauce,cook pasta,3
add sauce,use can,3
pack snack,shake bag,2
add chicken,add onion,32
add bean,cook on side,3
add bean,add pepper,7
cook on side,cut in half,2
add ingredient,cook on side,2
add tomato,eat lunch,3
cut in half,use leftover,2
add to pan,put lid,6
put lid,use bread,3
add green,use baby,2
cook on stove,use bread,2
add water,cook on stove,16
add bean,add ingredient,5
add ingredient,add sauce,3
add ingredient,add sweetener,2
add chicken,add dressing,4
add of favorite,chop lettuce,2
add of cabbage,chop lettuce,2
add garlic,add vinegar,4
add oil,use whisk,2
add oil,use tofu,4
add potato,use chickpea,3
add veggie,use chickpea,2
add sauce,add veggie,2
add ginger,drink alcohol,2
put tan,use bottle,2
put tan,shave leg,3
add oil,put tan,2
add oil,use product,10
add water,use fruit,13
use fruit,use glass,3
eat dairy,use milk,3
use brush,use cleaner,2
add oil,use brush,8
add oil,use cleaner,14
add drop,use serum,3
add drop,rub finger,3
add drop,add oil,41
add oil,use serum,6
add oil,rub finger,4
add oil,use bottle,7
put sheet,use applesauce,2
hold shape,put sheet,3
put sheet,use spray,2
use hand,use spoon,3
add chicken,use ton,2
add shell,use towel,2
add cheese,eat meat,3
add ice,use butter,5
add ingredient,use lg styler,2
add ingredient,put item,2
add water,chop cucumber,5
add vinegar,clean floor,6
clean floor,use glass,7
add vinegar,use glass,2
use brush,use glass,2
add onion,add veggie,7
add green,use rice,2
add green,add sauce,2
add green,use point,2
add sauce,set timer,2
add tomato,use rice,3
add date,cook on stove,2
add bit,cook on stove,2
add bit,add sweetener,3
add bit,add date,3
add date,use rice,2
add bit,use rice,6
add bit,add topping,3
add topping,use rice,3
cut in half,use fruit,2
cut in half,put lid,4
put lid,use fruit,3
add topping,use fruit,5
add topping,put lid,5
add egg,add topping,2
add egg,use retinol,3
drink coffee,eat breakfast,4
eat breakfast,use milk,7
add ingredient,add onion,2
add onion,add yeast,2
add bit,use color,2
add sauce,add shell,3
add cheese,add sauce,5
use recipe,use rice,3
cook on stove,use recipe,5
add dressing,add thyme,2
add to routine,drink tea,3
drain water,use chickpea,2
put bit,remove makeup,2
add oil,remove makeup,7
add oil,wash hair,13
put hand,rub finger,2
add potato,use paper,4
add potato,add vegetable,5
add vegetable,put on stove,2
add spice,add water,5
add vegetable,put lid,4
put lid,remove stem,2
put lid,use knife,2
add vegetable,remove stem,2
cut stem,remove stem,3
remove stem,use knife,2
add dressing,add salt,2
put granola,use recipe,3
put granola,use berry,2
add cinnamon,eat breakfast,3
add cilantro,add salt,5
chop cucumber,eat lunch,2
add ginger,drink tea,4
add carrot,add oil,3
add oil,use palm,2
add salt,use hand,2
pay attention,set goal,3
add broccoli,add veggie,2
add oil,use chickpea,5
use chickpea,use parsley,2
add oil,scrape side,2
curl eyelash,use color,9
curl eyelash,use finger,5
add spice,drink coffee,2
add layer,work way,2
add drop,use can,2
open pore,wrap gift,3
wear legging,wear top,6
wear jacket,wear top,4
wear jacket,wear legging,2
clean car,put effort,2
clean car,clean desk,2
