source,target,weight
cut excess,cut rectangle,2
cut excess,wear dress,2
cut excess,put sheet,2
add velcro,cut excess,3
cut excess,meet strap,2
brush tooth,rinse face,5
add oil,remove stem,2
add oil,cut stem,2
add oil,use baby,2
add oil,add pepper,14
add cheese,add pepper,4
brush hair,open pore,2
open pore,use color,2
add water,use baby,6
add egg,put hand,2
add egg,break bank,3
add egg,use tool,2
add water,break bank,2
add water,use tool,2
add drop,drink coffee,2
add oil,drink coffee,10
drink coffee,use bottle,2
add sugar,roll dough,2
cut hole,use tape,3
add feather,work way,2
add feather,open pore,3
cook on stove,use butter,4
add ingredient,cook on stove,4
add ingredient,use butter,6
add scoop,cut in half,4
drink wine,use glass,3
add glitter,use glue,3
add glitter,use glass,2
use glass,use glue,2
add seashell,add water,3
add potato,use paint,2
add potato,use brush,2
add potato,use color,4
use knife,use paper,2
use brush,use knife,2
use color,use knife,3
use brush,use paper,4
use color,use paper,6
use brush,use paint,16
add flavor,use butter,4
add cinnamon,add honey,3
cut hole,use hand,2
draw picture,paint coat,4
hold watercolor paint,paint coat,2
use tape,wrap gift,2
cut excess,use color,2
add chicken,cook for minute,17
add chicken,add water,21
add chicken,add garlic,5
add water,cook for minute,10
add garlic,cook for minute,7
add vinegar,cook for minute,6
add honey,cook for minute,6
add vinegar,add water,11
add honey,add water,9
add sauce,add water,7
add honey,add vinegar,3
add sauce,add vinegar,6
add honey,add sauce,3
add drop,use glue,2
paint gold,use glue,2
add drop,use color,2
paint gold,use color,4
cut hole,use twine,2
cut hole,use knife,2
use knife,use tape,2
drizzle on top,use butter,2
add to plate,use butter,2
cut excess,put bow,2
use bronzer,use cream,2
add water,use in kitchen,2
put shoe,use type,2
use hook,use type,2
add detail,cut fabric,2
lay around house,use type,2
pour marble,use type,2
use glue,use stick,6
cut in half,use glue,3
cut in half,use stick,2
add water,use glue,2
add glitter,add water,4
add oil,use tool,3
add water,use blender,7
add vegetable,boil water,2
boil water,cook for minute,3
add vegetable,cook for minute,2
add vegetable,use milk,2
cook for minute,use milk,4
add shell,cook on side,2
add sauce,use milk,2
use blender,use strawberry,2
use blender,use yogurt,5
use strawberry,use yogurt,6
add fat,use yogurt,3
use clay,use pin,2
put popsicle stick,use blender,2
add ingredient,use blender,3
add ingredient,put popsicle stick,2
use paper,use towel,3
put in middle,use finger,2
add water,cut diaper,2
add water,pull flap,2
add water,squish in hand,2
add water,blow balloon,2
blow balloon,cut diaper,2
blow balloon,pull flap,2
blow balloon,squish in hand,2
add layer,blow balloon,3
rinse with water,use blender,2
add water,rinse with water,9
add gelatin,rinse with water,2
add gelatin,add to pan,4
add to pan,add water,16
add water,put on stove,4
put item,put shelf,3
add oil,put for second,2
put for second,use clay,2
use clay,wear hat,2
add filling,cook for minute,4
cook for minute,use skewer,3
add sugar,use skewer,2
put on stove,use cleaner,2
light candle,put shoe,2
put shoe,use can,2
clean floor,put shoe,2
cut pool noodle around container,put toy,2
add ice,put toy,2
put toy,use can,2
use can,use paper,2
clean floor,put toy,4
put toy,use paper,2
put toy,use hack,2
clean floor,use paper,2
add ingredient,add water,8
add water,use knife,2
add ingredient,use knife,2
add oil,use mug,2
add oil,use cream,3
use on basis,use stick,2
use glue,use on basis,2
fill space,use paint,2
fill space,use paper,2
add cheese,use yogurt,2
put dish,rinse with water,2
add oil,use skewer,2
use dr,use sticker,3
use sticker,use type,3
use paper,use sticker,3
use paper,use type,3
light candle,use type,3
add velcro,use glove,2
use towel,use type,4
draw line,use type,6
freeze in baggie,use color,2
freeze in baggie,open drawer,2
paint coat,use scissor,3
add oil,place paint inside gallon size ziploc bag tape,2
add oil,use app,2
use color,use cream,3
add glitter,blow balloon,4
add glitter,paint coat,5
blow balloon,paint coat,2
add oil,use macadamia,2
add oil,use clamp,2
add oil,use color,5
add oil,use squeegee,4
paint coat,use paint,11
add glitter,use paint,5
use mascara,wear top,3
add coloring,use color,5
fill tray,use paint,2
cut hole,fill with soil,4
cut hole,use crop,3
cut hole,use can,6
cut hole,use wire,2
brush hair,brush tooth,16
put hand,write list,2
add honey,add sweetener,2
add honey,add salt,3
add salt,add sweetener,4
add water,use strawberry,3
add liquid,pull string,3
blow balloon,pull string,4
use knife,use scissor,2
put item,put sheet,4
put dot,use sharpie,3
add touch,use paper,2
use milk,use recipe,3
use recipe,use yogurt,2
use milk,use yogurt,4
use butter,use strawberry,2
add honey,use strawberry,2
cut hole,set tone,2
cut hole,read book,2
add shell,cut hole,2
add ice,use yogurt,3
pack snack,use yogurt,2
add ice,pack snack,3
use paint,use type,4
use paint,use tape,4
use paper,write zero,2
add drop,put dish,2
put bow,wrap gift,3
use stencil,use sticker,2
use stencil,wear goggle,2
draw picture,write message,4
paint coat,write message,2
use baby,write message,2
write message,write plan,2
wash hair,write message,2
draw picture,use baby,2
draw picture,write plan,2
draw picture,wash hair,2
cut hole,put hair,3
use fruit,use strawberry,3
set for hour,use as puree,2
catch firefly in jar,put side,2
add glitter,cut in half,2
add glitter,put lid,2
put animal,put lid,2
put lid,use glue,2
add drop,put lid,2
put foot,put lid,2
add drop,put foot,2
brush tooth,put pillow,2
put cover,stick paper onto cutout,2
use tape,write list,2
add embellishment,paint coat,2
use product,use type,7
add cranberry,add egg,2
add egg,use hummus,4
add egg,use guacamole,3
add egg,add mayonnaise,4
light candle,use paint,2
paint gold,use paint,2
brush hair,wash hair,9
sleep in bed,wear makeup,3
brush hair,sleep in bed,2
brush hair,wear makeup,5
put hair,use light,3
put in bathroom,use jaw,2
put hair,wear top,2
add liquid,drink on way,2
add liquid,use fruit,2
lift weight,use baby,2
add oil,put bit,10
blow mind,put sheet,2
cut into three,put cover,3
fix bed,put cover,3
put pillow,stack on top,6
add height,put pillow,2
brush tooth,wash hair,5
add liquid,cut diaper,2
add liquid,use paper,4
add vinegar,clean mess,3
add vinegar,use house,6
add oil,cook on stove,10
add oil,put dish,11
light candle,use house,4
put shoe,use house,7
put clothe,put shoe,2
use sponge,use type,3
put item,put side,2
fill space,use pencil,3
build credit,put stuff,3
clean area,use cleaner,5
clean area,put lid,3
put lid,put side,2
clean area,put side,2
clean area,clean sink,19
clean area,use glove,3
clean sink,put side,3
clean sink,use glove,16
put dish,use glove,2
use bleach,use glove,3
clean sink,put dish,25
clean sink,use bleach,2
add vinegar,clean sink,9
add vinegar,put dish,5
put in bathroom,put rug,2
clean sink,put in bathroom,16
clean house,put in bathroom,3
clean sink,put rug,3
clean house,put rug,2
clean house,clean sink,17
use cloth,use paper,6
use fruit,use technique,3
add salt,use brush,3
clean floor,mop floor,11
add vinegar,mop floor,2
add vinegar,draw orbit on foam board,2
add water,clean baseboard,2
add water,use sponge,5
add water,put sheet,2
add water,remove makeup,7
remove makeup,use sponge,2
put sheet,use hand,2
clean mess,remove stain,2
add vinegar,clean area,3
put bit,spray in hair,3
brush hair,put bit,4
add oil,spray in hair,2
use bike lock,use mask,2
use bike lock,use foundation,2
use foundation,wear makeup,7
use foundation,use serum,2
wear jean,wear pant,5
wear legging,wear pant,2
add veggie,cut in half,5
put bit,use glue,5
use glue,use wand,3
use wand,use wire,2
fill tray,read manual,2
fill space,put phone,2
clean desk,clean sink,2
use foundation,use type,5
put foot,shave leg,4
hold shape,wear bra,2
open bag,open drawer,3
clean mirror,kill bacteria,2
clean mirror,use glue,2
add oil,kill bacteria,3
brush tooth,use hydrogen peroxide,5
brush tooth,clean mirror,5
brush tooth,use technique,3
put in bathroom,use blanket,3
brush tooth,put in bathroom,5
put in bathroom,shower at night,2
put in bathroom,put tan,2
brush tooth,shower at night,3
shower at night,wash face,2
brush hair,wash face,4
use serum,wash face,4
brush hair,use serum,4
use cream,wear makeup,9
wear dress,wear outfit,2
eat breakfast,wear outfit,2
add seasoning,eat breakfast,2
cut in half,use milk,5
light candle,melt wax,9
melt wax,use cloth,3
light candle,use cloth,3
put shoe,use tip,2
use paper,use tool,2
use in kitchen,use paper,4
use in kitchen,use tool,2
use paper,use rag,3
cut hole,use hook,9
cook pasta,use type,2
cut hole,use type,2
blow mind,use tape,2
add oil,open pore,2
add oil,use bike lock,4
clean mirror,use color,2
use bleach,wash hair,2
use product,wash hair,4
use glove,use product,2
clean area,put item,7
clean sink,wash hair,5
use cleaner,use cloth,5
clean mirror,use type,3
clean mirror,use cleaner,7
use cleaner,use type,3
use type,wash clothe,3
read book,write message,2
add water,use rubbing alcohol,3
add water,catch guy,3
catch guy,put hair,4
add drop,use point,2
open drawer,use scissor,2
open bag,use scissor,2
clean sink,use brush,23
clean area,vacuum floor,5
kill bacteria,use hydrogen peroxide,4
brush tooth,remove stain,3
remove clothing,use hydrogen peroxide,2
kill bacteria,use type,2
use bleach,use hydrogen peroxide,3
remove stain,use hydrogen peroxide,4
clean floor,use hydrogen peroxide,2
clean floor,kill bacteria,2
use brush,use hydrogen peroxide,2
kill bacteria,use brush,7
kill bacteria,use spray,2
add chicken,add vinegar,5
add vinegar,use spray,2
add vinegar,put for second,2
add vinegar,use hydrogen peroxide,3
drink soda,open pore,2
use susan,wear pant,2
add spice,use susan,3
use product,use susan,3
add spice,use product,4
add spice,open drawer,2
write list,write schedule,4
read book,write schedule,2
clean house,set timer,2
clean mirror,use steam,3
clean mirror,wash hair,4
wash hair,wear legging,2
cook on side,eat breakfast,2
use cream,use foundation,2
add water,drink coffee,14
add oil,use house,6
add oil,put bow,2
put in bathroom,use type,2
clean baseboard,use marker,2
use glue,wash hair,3
put hand,use glue,2
put hand,wash hair,4
brush hair,use razor,3
put tan,use brush,3
brush hair,pull hair,3
clean area,use tip,2
clean house,use type,3
use lg styler,use type,2
put pillow,use steam,2
kill bacteria,put pillow,2
kill bacteria,use steam,2
brush tooth,remove skin,2
brush tooth,use cleaner,2
add oil,brush tooth,5
brush tooth,vacuum floor,2
add oil,dab stain,4
use cleaner,vacuum floor,3
add oil,vacuum floor,5
collect dust,dust surface,10
dust surface,use cleaner,5
clean mirror,dust surface,2
clean floor,clean mirror,8
mop floor,use mop,15
clean house,use mop,4
add chicken,eat meat,4
add chicken,use blender,3
add oil,put shoe,3
add kick,put phone,2
kill bacteria,wear bra,2
remove stain,use file holder,2
remove stain,wash clothe,5
remove stain,wash washer,2
clean area,remove stain,2
clean area,wash clothe,2
collect dust,use steam,2
put remote,put side,2
clean baseboard,clean house,2
catch eye,drink tea,3
put shoe,use hook,3
catch eye,use type,4
put in bathroom,wear makeup,2
use bottle,wear pant,2
brush brow,brush tooth,2
brush tooth,use guy,3
put dish,use knife,2
add to plate,wash dish,3
clean dish,wash dish,20
clean dish,clean sink,24
put dish,use marker,2
add oil,use sponge,5
use brush,wash hair,7
clean mess,clean sink,8
clean sink,use type,5
clean dish,clean mess,2
clean dish,use type,4
add vinegar,use type,4
use blender,use type,2
clean dish,put dish,7
catch eye,use in kitchen,2
catch eye,clear space,2
clear space,put mail,3
add sauce,burn hand,2
boil pasta,use recipe,3
put clothe,put shelf,2
add dressing,put shoe,3
drink coffee,pay attention,2
brush tooth,drink coffee,4
brush tooth,wash face,22
brush tooth,use at night,2
clean car,use cleaner,6
clean area,clean car,3
clean car,collect dust,3
collect dust,use cleaner,3
vacuum floor,work way,2
clean area,use technique,2
add water,remove stain,3
clean mirror,use brush,2
clean area,use brush,5
add oil,use air,4
collect dust,put clothe,2
clean area,put clothe,5
clean sink,put clothe,5
clean area,clear counter,8
clean sink,clear counter,10
clean area,use iron,2
clean sink,use iron,2
clean area,collect dust,2
clean sink,collect dust,2
collect dust,use towel,2
clean area,use towel,2
clear counter,use towel,2
clear counter,use brush,3
use brush,use type,10
rinse with water,use brush,3
clean floor,rinse with water,5
put clothe,vacuum floor,2
clean kitchen,vacuum crumb,2
mop floor,use cloth,3
clean toy,dust surface,3
clean toy,vacuum floor,3
dust surface,vacuum floor,5
clean mirror,mop floor,2
clean house,mop floor,6
clean house,clean mirror,4
clean mirror,vacuum floor,7
clean dish,clean mirror,3
clean house,put toy,8
clean house,vacuum floor,9
clean dish,clean house,2
put toy,use type,2
use type,vacuum floor,3
put toy,vacuum floor,11
clean sink,use sponge,11
use cloth,use pad,4
use cloth,use house,2
clean mirror,use cloth,38
use house,use pad,2
mop floor,use house,3
clean mirror,use house,2
clean floor,use house,5
clean floor,put dish,3
clean mirror,put dish,2
clean car,put dish,2
clean car,clean mirror,4
add oil,clean car,8
pull hair,use cleaner,2
use cleaner,use product,3
clean house,use product,3
clean floor,dust surface,3
dust surface,mop floor,3
clean baseboard,mop floor,4
add water,mop floor,3
clean floor,use cloth,37
clean area,clean floor,12
use baby,use type,2
put side,use type,3
wear pant,wear top,7
set for success,write list,2
use app,write list,2
put shoe,write list,3
put shoe,use product,5
put shoe,use towel,2
clean sink,put shoe,2
clean sink,use house,2
clean house,collect dust,3
clean house,dust surface,4
scrape side,scratch counter,2
put perfume,use point,3
add oil,use kit,2
add oil,put perfume,17
add oil,put information,2
add oil,use blend,4
add to routine,put dish,4
add to routine,wash dish,3
add to routine,clean area,2
put sheet,use towel,3
put pillow,put sheet,5
put pillow,use towel,2
use house,use on property,3
put in bathroom,use product,2
eat dinner,read book,2
add vegetable,eat lunch,4
brush tooth,use product,4
use product,wash face,5
add oil,read book,3
put phone,read book,6
add chicken,cook on side,4
add ingredient,add salt,2
add onion,eat lunch,2
add onion,add tomato,18
add onion,wash hair,2
add chicken,add oil,24
add tomato,boil water,2
add to plate,boil water,2
add to plate,set timer,2
add to plate,add tomato,2
add oil,spray toilet,5
put item,put toy,2
read book,rip page,2
eat food,read book,3
use brush,use recipe,2
clean area,put toy,2
clean area,rinse with water,2
clean sink,put toy,2
clean sink,rinse with water,8
mop floor,rinse with water,2
mop floor,read book,2
clean area,put in bathroom,3
mop floor,put in bathroom,5
clean area,mop floor,3
clean desk,dust surface,2
dust surface,put pillow,2
clean desk,vacuum floor,3
put pillow,vacuum floor,8
mop floor,vacuum floor,12
clean kitchen,kill bird with stone,2
clean kitchen,use type,10
clean car,clean kitchen,3
clean car,use type,4
add oil,clean floor,13
add oil,clean house,2
wash dish,wash hair,17
mop floor,wash hair,2
sprinkle on top,use straw,2
put cover,put item,2
add oil,use word,2
drink tea,light candle,7
use brush,wash dish,5
clean sink,use spray,6
clear counter,use spray,9
use help,use paint,2
pour marble,use paint,2
put in center,put shoe,2
put shelf,put shoe,2
put stuff,write list,6
add water,use towel,4
cook on side,use towel,2
add water,cook on side,2
add vegetable,add water,10
cook on side,put lid,2
add vegetable,cook on side,3
add vegetable,use fruit,2
add egg,add to plate,5
kill bacteria,use sponge,2
add water,kill bacteria,2
add water,spray toilet,3
add water,clean sink,13
clean sink,spray toilet,7
brush tooth,use brush,3
clean dish,use brush,7
clean dish,use tablet,2
use hand,use loofah,2
clean area,dust surface,3
clean mess,collect dust,3
clean mess,use cloth,2
mop floor,sweep floor,7
open door,use hook,2
add to pan,use spoon,3
use susan,use type,2
eat food,use spoon,2
add oil,put foot,9
clean mess,put dish,3
clear counter,put dish,11
clean area,put dish,4
clean area,clean dish,7
clean dish,put item,2
clean dish,use cleaner,2
add drop,put item,2
put pillow,put toy,5
clean mirror,put pillow,3
use vacuum,vacuum floor,10
clean kitchen,clear counter,10
clean kitchen,use brush,4
clean dish,clean kitchen,9
put hair,use pad,4
use cloth,use type,3
use cloth,use guy,2
use guy,use type,3
place order,put saliva sample,2
open drawer,put dish,2
put thought,write note,2
put quote,write note,2
open pore,put quote,2
put flower,write note,2
read instruction,write note,2
open pore,write note,4
put flower,read instruction,2
open pore,put flower,2
open pore,read instruction,2
add length,put hair,4
put hair,put side,6
catch breath,kill bacteria,2
use at night,work eraser on deodorant stain,2
clean kitchen,put item,2
clean kitchen,put dish,4
read book,use code,3
catch eye,use product,2
add potato,use type,4
put sheet,roll dough,3
put dish,use sponge,3
use sponge,wash dish,3
add vinegar,wash dish,3
add water,put pillow,5
add vinegar,put pillow,2
add water,build credit,2
use file holder,use product,2
put fingerprint,use cloth,3
put toy,vacuum crumb,2
dust surface,put item,2
dust surface,read book,2
put item,read book,3
use brush,use rag,2
use rag,wash dish,2
use house,wash dish,8
clean area,clean toy,9
dust surface,use rag,2
clear counter,wash dish,25
clear counter,use cleaner,3
clear counter,vacuum floor,3
clean sink,mop floor,5
clean sink,use scrub,4
use brush,use scrub,2
add spinach,cut in half,2
add filling,cut in half,2
add filling,add spinach,2
add cheese,use rice,5
add cheese,add chicken,2
add vegetable,use turkey,2
add spice,put lid,2
put bit,put lid,2
clean area,use product,2
brush tooth,put shelf,2
cut in half,use technique,2
add egg,add flavor,3
add sugar,drink coffee,6
remove makeup,use pad,9
put hair,remove makeup,5
use glass,use spoon,3
use glass,wash hair,2
clean floor,use rag,5
rinse with water,wash dish,3
add oil,rinse with water,6
paint wall,use paint,4
drink tea,use recipe,2
drink coffee,use filter,2
use method,use paper,3
add velcro,use rice,2
add velcro,use iron,2
add velcro,put on cuff,2
put hair,rinse with water,2
put phone,use bike lock,2
put phone,rip page,2
put phone,use glove,3
put phone,wear hoodie,2
drink wine,put hair,2
put hair,use wire,2
cut in half,use felt,2
put in bathroom,use in kitchen,2
use light,use tile,3
add oil,put over body,2
eat breakfast,put music,2
eat breakfast,put in mood,4
add oil,eat breakfast,3
eat breakfast,light candle,2
put in mood,put music,2
light candle,put music,4
light candle,put in mood,6
add oil,light candle,8
add broccoli,put sheet,2
put list,read book,2
put hair,use tape,2
use tape,wear top,3
use pin,use tape,2
use pin,wear top,2
remove stain,use baby,2
wear boot,wear pant,4
wear bra,wear outfit,3
read book,use technique,2
write list,write plan,5
use foundation,use sponge,4
use bronzer,use sponge,3
use brush,use product,3
kiss in moonlight,use brush,2
use foundation,use palette,4
use type,wear makeup,4
use sponge,wear makeup,3
use pencil,use type,3
pull thread,put shoe,3
use foundation,use word,2
add pepper,read book,2
pay attention,put phone,2
put lid,use can,4
open pore,put lid,2
add sugar,drink soda,4
add water,brush hair,3
add water,use serum,2
add vegetable,add veggie,3
add veggie,put lid,5
put hair,put lipstick,5
add ice,use product,2
add coloring,clean car,2
brush brow,use product,4
dab stain,put perfume,3
put perfume,use bike lock,2
use attachment,vacuum floor,2
use cleaner,use in kitchen,2
clean toy,put toy,6
mop floor,put clothe,2
put stuff,vacuum floor,2
clean area,put stuff,7
put in garage,put stuff,3
drink tea,use milk,9
clean area,use type,3
use tool,use towel,2
paint wall,use in kitchen,2
cook on side,use in kitchen,2
use recipe,use turkey,2
drink tea,use tape,2
use type,wear slipper,2
add water,use xylitol,2
add water,put hair,11
wear makeup,wear top,4
put side,wear makeup,2
eat lunch,read book,4
clean kitchen,eat food,3
drink tea,use type,5
draw line,drink tea,2
add oil,use glass,18
add oil,wear slipper,3
wear sunglass,wear top,2
put disclaimer,wear top,3
set face,wear makeup,3
add sugar,use rice,5
set timer,use rice,2
add egg,use bread,11
add liquid,add scoop,3
add egg,add veggie,7
add egg,stick orange into muffin tin,4
add pepper,stick orange into muffin tin,2
clean car,remove stain,5
clean kitchen,remove stain,2
clean desk,clean kitchen,2
clean car,use hand,2
clean area,put effort,2
brush hair,use tape,3
clean floor,use brush,3
use brush,use towel,2
clean house,use air,2
clean house,use mask,2
clean house,clean mess,4
clean car,clean house,5
clean kitchen,use sponge,6
clean area,clear space,2
put basket,use paper,4
add oil,put item,5
wash clothe,wash washer,3
pull string,use clothing,2
pull string,wash clothe,2
cut hole,use scissor,2
cut hole,open bag,2
cut bottom,cut hole,2
cut bottom,open bag,2
use glue,use tape,2
add oil,add rosemary,3
add flavor,add rosemary,5
pay attention,put over body,2
clean area,set goal,2
clean area,put phone,2
put phone,set timer,5
put underwear,use type,2
put earring,put underwear,2
put item,use tape,2
add velcro,use hand,2
add velcro,light candle,2
add velcro,use glass,2
light candle,use glass,2
light candle,put dish,2
put item,use for while,3
clean mess,put item,3
clean sink,clean toy,3
clean area,use rag,2
put item,use cleaner,2
add vinegar,rinse with water,2
brush tooth,rinse with water,5
brush tooth,clean floor,2
clean floor,clean sink,14
clean sink,use tile,4
clean sink,use method,10
use brush,use method,2
brush hair,clean area,2
put rug,use rag,2
kill bird with stone,use mask,2
use mask,use type,5
use conditioner,use type,2
add oil,use wand,2
put hair,use wand,9
use paper,use tape,3
add water,drink tea,22
drink tea,use glue,2
drink tea,put dot,2
use glue,use googan,2
use glue,use knife,4
cut hole,use help,2
eat dinner,eat food,8
drink tea,use teabag,2
rinse face,wash face,5
use mask,wash face,10
add water,wash face,12
brush tooth,use mask,4
add water,read book,4
use house,use in kitchen,2
stock cutting board,use house,4
stock cutting board,use in kitchen,2
stick eye in kitchen,stock cutting board,2
add honey,use website,2
put energy,wash clothe,3
fix cable,use website,3
put item,use can,2
clean area,use cloth,2
open window,use cloth,3
clean car,use cloth,2
add oil,use cloth,8
remove stain,use cloth,5
add oil,remove stain,2
add oil,break bank,9
remove stain,spray with hairspray,4
add ingredient,eat food,3
use foundation,wear top,2
set for hour,use foundation,2
use concealer,use foundation,11
use concealer,use type,6
put under eye,wear makeup,2
put under eye,use concealer,3
put contact,use sticker,2
open door,use paper,2
add stock,use paper,2
put contact,use paper,2
drink tea,put foot,3
drink tea,use cream,3
use cream,use pad,2
add water,put side,9
put side,use spray,2
add water,use spray,13
put into saving,use leftover,2
clean mess,put hair,2
wash clothe,wash hair,2
add water,put item,4
put item,read instruction,2
add oil,put clothe,3
put pillow,use blanket,2
spray toilet,use spray,2
dust surface,use vacuum,2
put basket,put item,2
kill bacteria,use cleaner,3
kill bacteria,use paper,2
use cleaner,use paper,2
use cleaner,use rag,2
clean area,pay attention,5
clean sink,pay attention,3
clean house,pay attention,3
pay attention,use house,2
clean area,use house,3
clean house,use house,3
clean area,wash face,3
use cleaner,use method,5
kill bacteria,use tip,3
use knife,use on basis,2
curl eyelash,use on basis,2
add oil,wear sunscreen,2
use point,use type,3
put perfume,use type,2
brush tooth,clean area,2
clean area,use serum,3
fill space,use on basis,2
add touch,put item,2
break bank,put item,3
use paper,work as mousepad,2
light candle,put flower,5
spritz face,use spray,2
add drop,use foundation,2
add cube,add water,4
add vegetable,put for second,3
use butter,use rice,3
hold to ribbon,use planner,2
use pad,wash face,2
remove makeup,wash face,10
use paper,wrap gift,2
put quote,use sticker,2
light candle,put bow,2
open window,use type,2
use spray,use type,3
use glass,use type,2
place order,vacuum floor,2
cut bottom,eat amount,2
add ice,use milk,4
add cinnamon,add ingredient,2
light candle,use fireplace,2
clean area,put sheet,2
clean house,put sheet,5
chop cucumber,use butter,2
chop lettuce,use butter,2
add dressing,add vinegar,2
add veggie,eat lunch,2
add veggie,use rice,3
add onion,use rice,11
add egg,drizzle on top,3
use hummus,use turkey,3
add water,use type,10
add water,use foundation,3
put contact,use type,2
put foot,use type,5
shave leg,use type,2
light candle,read book,5
put side,read book,2
put foot,read book,4
stick paper onto cutout,work as mousepad,2
use knife,work as mousepad,2
stick paper onto cutout,use knife,2
cut hole,put hand,2
add chicken,cut in half,4
add chicken,drizzle on top,3
cook pasta,use recipe,2
add garlic,use recipe,3
boil pasta,cook pasta,3
cook pasta,use can,7
add garlic,use can,3
add bean,add garlic,8
add bean,add kick,3
add bean,add salt,5
add bean,cook pasta,10
add pepper,use mushroom,5
add pepper,cook for minute,7
add onion,cut into quarter,5
add chicken,cut into quarter,3
stock cutting board,use file holder,2
kill bacteria,use file holder,2
use glue,use towel,3
cut through tinfoil,put robe,2
add oil,cut through tinfoil,2
add salt,use cheesecloth,2
use finger,wear makeup,3
use finger,use foundation,3
put side,use mug,2
use fireplace,use glass,3
drink wine,light candle,2
add green,add scoop,2
add ingredient,add liquid,2
add liquid,use strawberry,2
add salt,add shrimp,2
add shrimp,add water,2
add vegetable,use website,2
add cube,add ice,2
add onion,use jalapeno,2
add pepper,add sugar,2
add layer,use turkey,2
add onion,use turkey,4
add layer,add onion,2
add onion,use hummus,2
add water,use teabag,2
drink tea,put music,2
drink tea,eat breakfast,5
drink tea,put in mood,3
use serum,wear makeup,2
wear makeup,work from home,2
use moisturizer,wear makeup,14
use concealer,use moisturizer,3
use concealer,use mascara,6
add to plate,use paint,2
paint coat,use brush,5
set face,use finger,3
put side,use color,2
put lipstick,wear top,2
put lipstick,use wand,2
put hair,spray in hair,7
add cinnamon,drink tea,4
add oil,use rose,2
add bean,add fat,2
put flower,use paint,2
use recipe,use type,2
add vinegar,use recipe,2
put dish,use type,2
add vinegar,clean car,2
add oil,clean toy,2
add oil,spread to people,2
add oil,use blender,4
clean floor,clean toy,2
kill bacteria,use pad,2
put list,use planner,2
splash face,wash face,2
splash face,use cleaner,2
remove makeup,use cleaner,5
add oil,splash face,2
add oil,put on stove,4
add oil,use towel,7
open pore,use towel,2
drink tea,open pore,3
add oil,use for massage,3
add egg,add filling,3
add cinnamon,cook for minute,7
add topping,cook for minute,6
add cinnamon,add topping,4
add egg,add sriracha,3
put energy,use strawberry,2
add drop,wash hair,2
use chemical,use product,3
use chemical,use cleaner,2
splash face,use chemical,2
wash face,wear makeup,20
use cleaner,wash hair,2
add oil,use primer,2
add barrier,add oil,5
use glue,use scissor,3
add chicken,mix shallot,2
add chicken,add cranberry,2
add chicken,use type,6
add cranberry,add salt,2
add chicken,add to sandwich,5
add to sandwich,add veggie,3
add chicken,add veggie,6
use palette,use shade,2
use concealer,use palette,6
use concealer,use shade,4
curl piece,use wand,3
add ingredient,add oil,25
add bit,use finger,2
add to plate,cut in half,5
add honey,drink tea,14
add honey,add ice,3
use spoon,use toner,2
use pad,use spoon,3
kill bacteria,use spoon,3
clean area,use mask,2
use concealer,use mask,2
clean area,use concealer,2
add water,put bow,2
add water,light candle,4
use cardstock,use paper,2
roll dough,use paper,2
roll dough,use glue,2
use finger,use tip,2
clean area,open pore,3
remove makeup,use cosmetic,2
drink tea,read book,4
use product,use serum,7
use serum,use toner,4
use cream,wear sunscreen,3
use product,wear sunscreen,2
use brush,use cream,5
use color,use mascara,4
use color,use concealer,2
dab stain,use color,3
add sugar,add water,4
use alternative,use milk,2
add packet,add water,2
add packet,drink tea,2
put hair,wash face,14
remove makeup,wear makeup,14
add oil,use finger,4
add oil,pay attention,2
add oil,use tip,2
use cream,use finger,4
brush tooth,use steamer,2
brush tooth,use method,2
brush tooth,use microbead,2
add egg,use can,6
add cinnamon,use can,2
add cinnamon,add egg,4
add vegetable,cook pasta,4
add water,use can,3
add broccoli,use can,4
cook on stove,use can,2
add bean,add broccoli,4
add bean,cook on stove,7
add bean,put lid,8
add broccoli,cook pasta,4
cook on stove,cook pasta,8
cook pasta,put lid,3
add broccoli,cook on stove,3
add broccoli,put lid,3
add broccoli,add topping,2
cook on stove,put lid,9
cook on side,cook on stove,7
cook on stove,cut in half,3
add egg,cook on stove,4
boil water,cook on stove,2
add vegetable,use rice,9
add fat,add ingredient,2
add ice,use baby,2
add tomato,use bread,9
chop lettuce,use bread,2
add oil,cook on side,2
add green,chop cucumber,3
add to plate,chop cucumber,2
add green,add to plate,2
add green,add vegetable,2
add to plate,add vegetable,5
add water,drink soda,3
drink alcohol,drink soda,3
use milk,use type,3
eat food,use type,2
put lid,use rice,12
cook pasta,use rice,8
add egg,cook pasta,2
cook for minute,cook pasta,4
cook pasta,rinse with water,5
cook for minute,use rice,13
rinse with water,use rice,2
add bean,add egg,10
add egg,cook for minute,6
add egg,rinse with water,3
add flavor,add onion,11
add flavor,cut in half,2
add to pan,cut in half,4
add flavor,add to pan,5
add pepper,cut in half,6
add pepper,add to pan,12
add pepper,put lid,7
add salt,put lid,7
add egg,use blender,3
add bean,add onion,11
put lid,use strawberry,2
add tomato,put food,2
add green,add tomato,6
add green,put food,2
use rice,use serving,5
add vegetable,use serving,3
add topping,use butter,3
add green,use lacinato,2
add dressing,use blender,2
use blender,use glass,2
add to soup,eat amount,2
add protein,add to soup,2
add onion,cook on stove,11
add flavor,cook on stove,7
add pepper,cook on stove,9
add to pan,cook on stove,18
